x-axis,3,4,MATH
second,Volt,Volt,Volt
+49.0000E-06,+44.6289062500E+00,+44.0429687500E+00,-585.9375000E-03
+49.1000E-06,+44.8242187500E+00,+44.3359375000E+00,-488.2812500E-03
+49.2000E-06,+44.7265625000E+00,+44.5312500000E+00,-195.3125000E-03
+49.3000E-06,+44.7265625000E+00,+44.2382812500E+00,-488.2812500E-03
+49.4000E-06,+45.0195312500E+00,+44.4335937500E+00,-585.9375000E-03
+49.5000E-06,+44.8242187500E+00,+44.5312500000E+00,-292.9687500E-03
+49.6000E-06,+45.1171875000E+00,+44.4335937500E+00,-683.5937500E-03
+49.7000E-06,+44.9218750000E+00,+44.4335937500E+00,-488.2812500E-03
+49.8000E-06,+45.0195312500E+00,+44.8242187500E+00,-195.3125000E-03
+49.9000E-06,+45.1171875000E+00,+44.5312500000E+00,-585.9375000E-03
+50.0000E-06,+45.1171875000E+00,+44.7265625000E+00,-390.6250000E-03
+50.1000E-06,+45.0195312500E+00,+44.7265625000E+00,-292.9687500E-03
+50.2000E-06,+45.2148437500E+00,+45.1171875000E+00,-97.6562500E-03
+50.3000E-06,+45.2148437500E+00,+44.8242187500E+00,-390.6250000E-03
+50.4000E-06,+45.4101562500E+00,+44.8242187500E+00,-585.9375000E-03
+50.5000E-06,+45.3125000000E+00,+44.9218750000E+00,-390.6250000E-03
+50.6000E-06,+45.6054687500E+00,+44.8242187500E+00,-781.2500000E-03
+50.7000E-06,+45.5078125000E+00,+44.9218750000E+00,-585.9375000E-03
+50.8000E-06,+45.6054687500E+00,+44.7265625000E+00,-878.9062500E-03
+50.9000E-06,+45.5078125000E+00,+44.9218750000E+00,-585.9375000E-03
+51.0000E-06,+45.5078125000E+00,+45.1171875000E+00,-390.6250000E-03
+51.1000E-06,+45.5078125000E+00,+45.3125000000E+00,-195.3125000E-03
+51.2000E-06,+45.7031250000E+00,+45.2148437500E+00,-488.2812500E-03
+51.3000E-06,+45.5078125000E+00,+45.2148437500E+00,-292.9687500E-03
+51.4000E-06,+45.7031250000E+00,+45.3125000000E+00,-390.6250000E-03
+51.5000E-06,+45.8007812500E+00,+45.4101562500E+00,-390.6250000E-03
+51.6000E-06,+45.9960937500E+00,+45.6054687500E+00,-390.6250000E-03
+51.7000E-06,+45.8984375000E+00,+45.7031250000E+00,-195.3125000E-03
+51.8000E-06,+45.8984375000E+00,+45.6054687500E+00,-292.9687500E-03
+51.9000E-06,+45.9960937500E+00,+45.5078125000E+00,-488.2812500E-03
+52.0000E-06,+46.0937500000E+00,+45.6054687500E+00,-488.2812500E-03
+52.1000E-06,+46.0937500000E+00,+45.8984375000E+00,-195.3125000E-03
+52.2000E-06,+46.2890625000E+00,+45.7031250000E+00,-585.9375000E-03
+52.3000E-06,+46.3867187500E+00,+45.6054687500E+00,-781.2500000E-03
+52.4000E-06,+46.1914062500E+00,+45.9960937500E+00,-195.3125000E-03
+52.5000E-06,+46.3867187500E+00,+45.8984375000E+00,-488.2812500E-03
+52.6000E-06,+46.3867187500E+00,+46.0937500000E+00,-292.9687500E-03
+52.7000E-06,+46.2890625000E+00,+45.9960937500E+00,-292.9687500E-03
+52.8000E-06,+46.5820312500E+00,+46.1914062500E+00,-390.6250000E-03
+52.9000E-06,+46.5820312500E+00,+46.1914062500E+00,-390.6250000E-03
+53.0000E-06,+46.7773437500E+00,+46.0937500000E+00,-683.5937500E-03
+53.1000E-06,+46.4843750000E+00,+46.0937500000E+00,-390.6250000E-03
+53.2000E-06,+46.5820312500E+00,+46.2890625000E+00,-292.9687500E-03
+53.3000E-06,+46.7773437500E+00,+46.0937500000E+00,-683.5937500E-03
+53.4000E-06,+46.6796875000E+00,+46.4843750000E+00,-195.3125000E-03
+53.5000E-06,+46.8750000000E+00,+46.4843750000E+00,-390.6250000E-03
+53.6000E-06,+46.7773437500E+00,+46.5820312500E+00,-195.3125000E-03
+53.7000E-06,+46.9726562500E+00,+46.7773437500E+00,-195.3125000E-03
+53.8000E-06,+46.9726562500E+00,+46.5820312500E+00,-390.6250000E-03
+53.9000E-06,+47.2656250000E+00,+46.7773437500E+00,-488.2812500E-03
+54.0000E-06,+47.0703125000E+00,+46.7773437500E+00,-292.9687500E-03
+54.1000E-06,+47.3632812500E+00,+46.7773437500E+00,-585.9375000E-03
+54.2000E-06,+47.2656250000E+00,+46.7773437500E+00,-488.2812500E-03
+54.3000E-06,+47.3632812500E+00,+46.8750000000E+00,-488.2812500E-03
+54.4000E-06,+47.2656250000E+00,+46.8750000000E+00,-390.6250000E-03
+54.5000E-06,+47.2656250000E+00,+46.8750000000E+00,-390.6250000E-03
+54.6000E-06,+47.4609375000E+00,+46.9726562500E+00,-488.2812500E-03
+54.7000E-06,+47.3632812500E+00,+46.9726562500E+00,-390.6250000E-03
+54.8000E-06,+47.5585937500E+00,+47.1679687500E+00,-390.6250000E-03
+54.9000E-06,+47.4609375000E+00,+47.0703125000E+00,-390.6250000E-03
